goos: darwin
goarch: arm64
pkg: github.com/muthuishere/cljgo/spikes/s11-result-rep
cpu: Apple M5 Pro
BenchmarkChain_RawGo-18               	368016879	         3.065 ns/op	       0 B/op	       0 allocs/op
BenchmarkChain_RawGo-18               	377729935	         3.131 ns/op	       0 B/op	       0 allocs/op
BenchmarkChain_RawGo-18               	405255316	         3.097 ns/op	       0 B/op	       0 allocs/op
BenchmarkChain_RawGo-18               	388034680	         3.035 ns/op	       0 B/op	       0 allocs/op
BenchmarkChain_RawGo-18               	386061412	         3.096 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainErr_RawGo-18            	351925593	         3.435 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainErr_RawGo-18            	342078424	         3.467 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainErr_RawGo-18            	355949868	         3.404 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainErr_RawGo-18            	350725587	         3.383 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainErr_RawGo-18            	345424924	         3.451 ns/op	       0 B/op	       0 allocs/op
BenchmarkChain_PanicRecover-18        	22240738	        52.37 ns/op	      80 B/op	      10 allocs/op
BenchmarkChain_PanicRecover-18        	21933698	        52.91 ns/op	      80 B/op	      10 allocs/op
BenchmarkChain_PanicRecover-18        	21861540	        55.02 ns/op	      80 B/op	      10 allocs/op
BenchmarkChain_PanicRecover-18        	22135677	        53.67 ns/op	      80 B/op	      10 allocs/op
BenchmarkChain_PanicRecover-18        	20596040	        57.07 ns/op	      80 B/op	      10 allocs/op
BenchmarkChainErr_PanicRecover-18     	 9218739	       130.6 ns/op	      40 B/op	       5 allocs/op
BenchmarkChainErr_PanicRecover-18     	 9128089	       127.8 ns/op	      40 B/op	       5 allocs/op
BenchmarkChainErr_PanicRecover-18     	 9474796	       126.9 ns/op	      40 B/op	       5 allocs/op
BenchmarkChainErr_PanicRecover-18     	 9492750	       127.6 ns/op	      40 B/op	       5 allocs/op
BenchmarkChainErr_PanicRecover-18     	 9435096	       129.1 ns/op	      40 B/op	       5 allocs/op
BenchmarkChain_A_TaggedPtr-18         	 6905898	       172.8 ns/op	     344 B/op	      21 allocs/op
BenchmarkChain_A_TaggedPtr-18         	 6840114	       174.5 ns/op	     344 B/op	      21 allocs/op
BenchmarkChain_A_TaggedPtr-18         	 6842295	       175.9 ns/op	     344 B/op	      21 allocs/op
BenchmarkChain_A_TaggedPtr-18         	 6882736	       173.8 ns/op	     344 B/op	      21 allocs/op
BenchmarkChain_A_TaggedPtr-18         	 6935038	       174.9 ns/op	     344 B/op	      21 allocs/op
BenchmarkChainErr_A_TaggedPtr-18      	10197715	       115.4 ns/op	     208 B/op	      12 allocs/op
BenchmarkChainErr_A_TaggedPtr-18      	10444654	       113.0 ns/op	     208 B/op	      12 allocs/op
BenchmarkChainErr_A_TaggedPtr-18      	10731196	       112.8 ns/op	     208 B/op	      12 allocs/op
BenchmarkChainErr_A_TaggedPtr-18      	10633100	       112.0 ns/op	     208 B/op	      12 allocs/op
BenchmarkChainErr_A_TaggedPtr-18      	10906797	       110.7 ns/op	     208 B/op	      12 allocs/op
BenchmarkChain_B_Vector-18            	  865849	      1378 ns/op	    6944 B/op	      54 allocs/op
BenchmarkChain_B_Vector-18            	  858028	      1393 ns/op	    6944 B/op	      54 allocs/op
BenchmarkChain_B_Vector-18            	  829856	      1399 ns/op	    6944 B/op	      54 allocs/op
BenchmarkChain_B_Vector-18            	  803208	      1418 ns/op	    6944 B/op	      54 allocs/op
BenchmarkChain_B_Vector-18            	  860890	      1411 ns/op	    6944 B/op	      54 allocs/op
BenchmarkChainErr_B_Vector-18         	 1325643	       900.4 ns/op	    4408 B/op	      33 allocs/op
BenchmarkChainErr_B_Vector-18         	 1338895	       897.2 ns/op	    4408 B/op	      33 allocs/op
BenchmarkChainErr_B_Vector-18         	 1344252	       901.8 ns/op	    4408 B/op	      33 allocs/op
BenchmarkChainErr_B_Vector-18         	 1362577	       874.2 ns/op	    4408 B/op	      33 allocs/op
BenchmarkChainErr_B_Vector-18         	 1336924	       898.7 ns/op	    4408 B/op	      33 allocs/op
BenchmarkChain_C_StructVal-18         	 6344032	       188.8 ns/op	     344 B/op	      21 allocs/op
BenchmarkChain_C_StructVal-18         	 6327600	       188.3 ns/op	     344 B/op	      21 allocs/op
BenchmarkChain_C_StructVal-18         	 6402381	       182.7 ns/op	     344 B/op	      21 allocs/op
BenchmarkChain_C_StructVal-18         	 6426394	       184.4 ns/op	     344 B/op	      21 allocs/op
BenchmarkChain_C_StructVal-18         	 6522235	       185.1 ns/op	     344 B/op	      21 allocs/op
BenchmarkChainErr_C_StructVal-18      	10076046	       119.3 ns/op	     208 B/op	      12 allocs/op
BenchmarkChainErr_C_StructVal-18      	 9635490	       119.8 ns/op	     208 B/op	      12 allocs/op
BenchmarkChainErr_C_StructVal-18      	10093706	       119.3 ns/op	     208 B/op	      12 allocs/op
BenchmarkChainErr_C_StructVal-18      	10050384	       120.2 ns/op	     208 B/op	      12 allocs/op
BenchmarkChainErr_C_StructVal-18      	 9651758	       120.8 ns/op	     208 B/op	      12 allocs/op
BenchmarkChain_D_TypePerTag-18        	 6957876	       173.6 ns/op	     256 B/op	      21 allocs/op
BenchmarkChain_D_TypePerTag-18        	 6989658	       170.7 ns/op	     256 B/op	      21 allocs/op
BenchmarkChain_D_TypePerTag-18        	 7057723	       170.1 ns/op	     256 B/op	      21 allocs/op
BenchmarkChain_D_TypePerTag-18        	 6862496	       170.1 ns/op	     256 B/op	      21 allocs/op
BenchmarkChain_D_TypePerTag-18        	 7119925	       170.3 ns/op	     256 B/op	      21 allocs/op
BenchmarkChainErr_D_TypePerTag-18     	10758500	       111.8 ns/op	     152 B/op	      12 allocs/op
BenchmarkChainErr_D_TypePerTag-18     	10684723	       112.2 ns/op	     152 B/op	      12 allocs/op
